Species,Longitude,Latitude
cformosa,-86.95,12.68333
cformosa,-85.9583,11.76
cformosa,-86.31405,12.22806
cformosa,-88.50883,13.224
cformosa,-88.76167,13.23833
cformosa,-93.98361,16.6
cformosa,-87.38,14.25
cformosa,-93.65667,15.95333
cformosa,-86.41667,12.05
cformosa,-93.30385,16.96436
cformosa,-92.40694,14.70694
cformosa,-93.53833,16.695
cformosa,-85.43333,11.98333
cformosa,-93.32851,16.74247
cformosa,-93.82278,16.0625
cformosa,-91.86,15.86833
cformosa,-94.21667,16.67333
cformosa,-94.23333,16.45
cformosa,-92.14139,15.80472
cformosa,-92.634,16.081
cformosa,-92.72417,15.0375
cformosa,-88.08333,13.58333
cformosa,-93.52333,15.755
cformosa,-93.1023,16.6069
cformosa,-85.08333,10.41667
cformosa,-85.71232,10.84063
cformosa,-93.06889,15.80222
cformosa,-94.03775,16.38495
cformosa,-89.891,13.848
cformosa,-93.49333,16.98361
cformosa,-88.275,13.468
cformosa,-93.13778,17.09
cformosa,-93.32389,15.99306
cformosa,-92.50222,15.27972
cformosa,-84.93333,10.55
cformosa,-93.09583,16.905
cformosa,-92.19872,14.85731
cformosa,-90.42848,13.87835
cformosa,-85.61296,11.21659
cformosa,-87.5033,12.8887
cformosa,-86.05158,11.93748
cformosa,-91.1395,14.52685
cformosa,-85.32635,10.74016
cformosa,-92.26632,14.581
cformosa,-91.733,14.637
cformosa,-92.88957,15.5215
cformosa,-89.5677,14.33265
cformosa,-85.95678,11.27249
cformosa,-86.26605,11.85873
cformosa,-85.48138,9.86886
cformosa,-87.235,13.857
cformosa,-93.8627,16.2971
cformosa,-87.61911,13.29026
cformosa,-84.83166,10.28941
cformosa,-87.02761,13.28743
cformosa,-85.55543,11.5147
cformosa,-92.86076,16.5789
cformosa,-92.95792,15.28429
cformosa,-85.77481,10.09456
cformosa,-92.32902,15.1713
cformosa,-85.82663,11.41885
cformosa,-85.05841,10.73129
cformosa,-94.52257,16.30423
cformosa,-94.3873,16.57194
cformosa,-84.61235,9.80672
cformosa,-86.07767,12.12316
cformosa,-92.68727,15.22298
cformosa,-93.19317,15.5741
cformosa,-92.54263,16.30687
cformosa,-94.05254,16.18934
cformosa,-93.62033,16.3795
cformosa,-85.04685,10.14896
cformosa,-88.10286,13.92872
cformosa,-86.573,14.0393
cformosa,-86.9105,13.87144
cformosa,-85.83841,10.29955
cformosa,-84.90806,9.81299
cformosa,-92.96809,16.75864
cformosa,-85.47436,11.04707
cformosa,-87.10449,13.48225
cformosa,-85.34635,10.30188
cformosa,-92.27389,16.18998
cformosa,-92.07695,15.05793
cformosa,-85.07456,9.65304
cformosa,-87.10743,14.11344
cformosa,-93.55608,16.15424
cformosa,-85.66025,9.94078
cformosa,-85.51801,10.15415
cformosa,-85.49418,10.6123
cformosa,-85.2527,10.50681
cformosa,-84.64268,10.46783
cformosa,-85.74455,11.03087
cformosa,-85.75492,10.52897
cformosa,-89.42077,13.72213
cformosa,-86.30445,11.6092
cformosa,-89.35663,13.48695
cformosa,-86.14998,11.48235
cformosa,-87.63024,13.50766
cformosa,-89.18726,13.63785
cformosa,-90.84,14.28584
cformosa,-91.47028,14.60007
cformosa,-98.38333,16.45
cformosa,-103.59056,18.53083
cformosa,-100.73587,19.03817
cformosa,-101.75,19.15833
cformosa,-98.39333,18.49167
cformosa,-99.56667,17.93333
cformosa,-104.665,19.455
cformosa,-100.36,17.25833
cformosa,-100.69504,17.27418
cformosa,-103.965,18.93333
cformosa,-104,19.16167
cformosa,-104.21,19.575
cformosa,-103.11992,19.76121
cformosa,-105.34,20.19528
cformosa,-103.61667,19.11333
cformosa,-105.5,20.355
cformosa,-99.917,16.85
cformosa,-100.117,17.417
cformosa,-97.287,16.237
cformosa,-97.15359,16.10083
cformosa,-99.09677,18.91925
cformosa,-99.667,17.55
cformosa,-99.835,17.33333
cformosa,-100.618,17.573
cformosa,-97.6561,16.0003
cformosa,-103.01,18.214
cformosa,-101.44833,18.425
cformosa,-103.23972,18.26028
cformosa,-101.91194,18.84861
cformosa,-102.15333,18.40333
cformosa,-102.12833,18.88361
cformosa,-101.65222,18.69722
cformosa,-103.37,18.968
cformosa,-102.3675,18.51806
cformosa,-99.88667,18.00333
cformosa,-99.717,16.8
cformosa,-100.308,18.438
cformosa,-97.84,17.19
cformosa,-102.061,18.036
cformosa,-102.34167,19.1
cformosa,-102.43667,18.34361
cformosa,-103.61556,18.77694
cformosa,-103.45194,18.35917
cformosa,-102.81917,18.11889
cformosa,-100.61667,19.23333
cformosa,-98.6229,16.5694
cformosa,-100.32311,17.05206
cformosa,-98.16416,16.21697
cformosa,-99.46103,17.35689
cformosa,-99.83578,17.12323
cformosa,-98.03808,17.95152
cformosa,-101.63981,17.67068
cformosa,-98.1863,18.1749
cformosa,-99.35002,18.5662
cformosa,-99.24203,17.42409
cformosa,-99.11869,18.45405
cformosa,-104.21921,19.83504
cformosa,-98.91051,18.00888
cformosa,-104.43363,19.77527
cformosa,-98.95785,18.33675
cformosa,-103.76035,19.36115
cformosa,-102.01923,19.1679
cformosa,-100.1382,16.96427
cformosa,-98.84159,16.56749
cformosa,-97.23799,15.92978
cformosa,-104.399,19.10398
cformosa,-103.34077,19.16813
cformosa,-101.61844,18.88793
cformosa,-99.11192,18.73086
cformosa,-104.08715,19.36959
cformosa,-97.05225,15.84566
cformosa,-102.57423,19.51853
cformosa,-105.07188,19.52604
cformosa,-99.20123,16.78408
cformosa,-102.32635,18.0335
cformosa,-101.4408,17.5368
cformosa,-104.08088,20.25121
cformosa,-104.71311,19.22646
cformosa,-103.55,19.405
cformosa,-103.94241,19.59591
cformosa,-97.906667,16.963333
cformosa,-95.829638,16.44958
cformosa,-96.035,16.62833
cformosa,-95.335,16.33333
cformosa,-95.03167,16.72
cformosa,-94.90167,16.46667
cformosa,-95.04167,16.90658
cformosa,-95.57833,16.43833
cformosa,-95.14706,16.19225
cformosa,-94.617,16.567
cformosa,-96.49,15.9744
cformosa,-95.75806,15.90068
cformosa,-96.3197,16.6946
cformosa,-95.52484,16.84858
cformosa,-94.76609,16.70452
cformosa,-96.19384,15.76935
cformosa,-95.97528,15.84052
cformosa,-96.4668,15.75427
cformosa,-95.2011,16.53551
cformosa,-95.38227,16.04507
cformosa,-96.21667,16.9
