"bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"bio01",1,-0.237891080781078,0.211839119390979,-0.204737537557944,0.676540339970865,0.804232428465245,-0.314293528656732,0.835168761958104,0.902292722717365,0.872546982274503,0.88130074551263,0.0201102148477189,0.0149725790303679,-0.0407735200970746,-0.0219345005115549,-0.000114662799062576,-0.0453316583675211,-0.151382801934632,0.0966716049769418
"bio02",-0.237891080781078,1,0.062404841812603,0.322729055609862,0.434351017798285,-0.644056895472214,0.838613266903982,-0.0415401020372512,-0.245006286386172,-0.0357432189179125,-0.327367068485487,-0.441069739192576,-0.311184239445742,-0.461648390949326,0.565415127104044,-0.292315180164411,-0.466703481367703,-0.142491185506227,-0.427197381833123
"bio03",0.211839119390979,0.062404841812603,1,-0.85408262096737,-0.128318512348693,0.447287589449314,-0.478187062767097,-0.210631707623483,0.357814545539768,-0.196349898348801,0.588051232549337,0.214590707995068,0.247731025502842,-0.262445184618269,0.202975895244271,0.259639436038685,-0.260925030157604,-0.163691889864274,0.0513821904421297
"bio04",-0.204737537557944,0.322729055609862,-0.85408262096737,1,0.335478944474414,-0.629427309769102,0.766048907824322,0.333356263715551,-0.378933953485768,0.29179503739884,-0.640463127997212,-0.383210234570643,-0.357707672747303,0.0421682208922625,0.0396963654250219,-0.375448926839815,0.0426028383447562,0.156142805121007,-0.176216284395778
"bio05",0.676540339970865,0.434351017798285,-0.128318512348693,0.335478944474414,1,0.153397882251952,0.463722255031926,0.786756451486563,0.547122701748537,0.849786379288335,0.376332834325764,-0.306851541725186,-0.24688887222379,-0.228430559142298,0.245539942651092,-0.259438394057529,-0.234633522023275,-0.250898511245954,-0.138095434004739
"bio06",0.804232428465245,-0.644056895472214,0.447287589449314,-0.629427309769102,0.153397882251952,1,-0.804360595506541,0.419987160208151,0.824761894992484,0.46215637771772,0.928702659046662,0.344326622685158,0.275887966150343,0.150237556065043,-0.260118912864246,0.264379044522264,0.149532415942136,-0.118698928444151,0.330725507345876
"bio07",-0.314293528656732,0.838613266903982,-0.478187062767097,0.766048907824322,0.463722255031926,-0.804360595506541,1,0.0964860720236713,-0.410513428310167,0.0965747023626661,-0.606394617436433,-0.493217400841097,-0.39580282145311,-0.272047437825353,0.380853356496626,-0.393029507093865,-0.275144793274025,-0.0444301001413563,-0.379556853107934
"bio08",0.835168761958104,-0.0415401020372512,-0.210631707623483,0.333356263715551,0.786756451486563,0.419987160208151,0.0964860720236713,1,0.65402799806582,0.973009091186612,0.494443201856186,-0.217201901773911,-0.193835911101185,-0.0562563979424338,0.0615477368465005,-0.214297138283295,-0.0591658764732033,-0.00257980426809613,-0.0482715686449687
"bio09",0.902292722717365,-0.245006286386172,0.357814545539768,-0.378933953485768,0.547122701748537,0.824761894992484,-0.410513428310167,0.65402799806582,1,0.700284060401092,0.894245103005816,0.118909147196027,0.107850587157279,-0.0271342676654566,0.00311931578785695,0.112408865038231,-0.0192951398904272,-0.186953124114933,0.223346905218308
"bio10",0.872546982274503,-0.0357432189179125,-0.196349898348801,0.29179503739884,0.849786379288335,0.46215637771772,0.0965747023626661,0.973009091186612,0.700284060401092,1,0.546560030031191,-0.178403902676911,-0.160421233557977,-0.059771918207906,0.0387081859636004,-0.183396423265929,-0.0625404649702766,-0.103206316947532,0.00270107096624785
"bio11",0.88130074551263,-0.327367068485487,0.588051232549337,-0.640463127997212,0.376332834325764,0.928702659046662,-0.606394617436433,0.494443201856186,0.894245103005816,0.546560030031191,1,0.196651139164871,0.185528978596855,-0.0714812120013411,-0.016295486827068,0.182217600853915,-0.0745267256967705,-0.202894172517366,0.163316355999896
"bio12",0.0201102148477189,-0.441069739192576,0.214590707995068,-0.383210234570643,-0.306851541725186,0.344326622685158,-0.493217400841097,-0.217201901773911,0.118909147196027,-0.178403902676911,0.196651139164871,1,0.918497360835439,0.625489973511745,-0.42643068591364,0.922011607429023,0.642086160629825,0.454480673731983,0.634939048732711
"bio13",0.0149725790303679,-0.311184239445742,0.247731025502842,-0.357707672747303,-0.24688887222379,0.275887966150343,-0.39580282145311,-0.193835911101185,0.107850587157279,-0.160421233557977,0.185528978596855,0.918497360835439,1,0.374713753897344,-0.102208038244038,0.980875812602724,0.388147618397475,0.505299963267228,0.455670997431755
"bio14",-0.0407735200970746,-0.461648390949326,-0.262445184618269,0.0421682208922625,-0.228430559142298,0.150237556065043,-0.272047437825353,-0.0562563979424338,-0.0271342676654566,-0.059771918207906,-0.0714812120013411,0.625489973511745,0.374713753897344,1,-0.800695831301812,0.377010776126819,0.99142907535083,0.368816039908409,0.618194514168153
"bio15",-0.0219345005115549,0.565415127104044,0.202975895244271,0.0396963654250219,0.245539942651092,-0.260118912864246,0.380853356496626,0.0615477368465005,0.00311931578785695,0.0387081859636004,-0.016295486827068,-0.42643068591364,-0.102208038244038,-0.800695831301812,1,-0.083515176015796,-0.800979182673741,-0.0555292890440255,-0.553841939715328
"bio16",-0.000114662799062576,-0.292315180164411,0.259639436038685,-0.375448926839815,-0.259438394057529,0.264379044522264,-0.393029507093865,-0.214297138283295,0.112408865038231,-0.183396423265929,0.182217600853915,0.922011607429023,0.980875812602724,0.377010776126819,-0.083515176015796,1,0.392305570664041,0.517651229902091,0.44686307829111
"bio17",-0.0453316583675211,-0.466703481367703,-0.260925030157604,0.0426028383447562,-0.234633522023275,0.149532415942136,-0.275144793274025,-0.0591658764732033,-0.0192951398904272,-0.0625404649702766,-0.0745267256967705,0.642086160629825,0.388147618397475,0.99142907535083,-0.800979182673741,0.392305570664041,1,0.377924366346436,0.644806985442625
"bio18",-0.151382801934632,-0.142491185506227,-0.163691889864274,0.156142805121007,-0.250898511245954,-0.118698928444151,-0.0444301001413563,-0.00257980426809613,-0.186953124114933,-0.103206316947532,-0.202894172517366,0.454480673731983,0.505299963267228,0.368816039908409,-0.0555292890440255,0.517651229902091,0.377924366346436,1,0.151052421755284
"bio19",0.0966716049769418,-0.427197381833123,0.0513821904421297,-0.176216284395778,-0.138095434004739,0.330725507345876,-0.379556853107934,-0.0482715686449687,0.223346905218308,0.00270107096624785,0.163316355999896,0.634939048732711,0.455670997431755,0.618194514168153,-0.553841939715328,0.44686307829111,0.644806985442625,0.151052421755284,1
